,Hotel,Location,Country,Region,Company,Score,Rank,Rooms,Hotel_type,Theme,Year,Century,2021_Rank,Past_rank,Rank_Year,latitude,longitude
64,The Goring,London,England,Europe,The Goring Family,96.55,65,69,Small,Palace,1910,20,1.0,56.0,2022,51.5073219,-0.1276474
65,The Oberoi Rajvilas,Jaipur,India,Southeast Asia,The Oberoi Group,96.52,66,54,Small,Palace,1997,20,1.0,51.0,2022,26.9154576,75.8189817
66,Palm Island Resort,Palm Island,Saint Vincent and the Grenadines,Caribbean,James Lane and Rob Barrett,96.5,67,43,Small,Island,1968,20,0.0,0.0,2022,12.5888864,-61.3995276
67,Hotel Savoy,Florence,Italy,Europe,Rocco Forte Hotels,96.47,68,80,Small,Contemporary ,1893,19,0.0,0.0,2022,43.7698712,11.2555757
68,Rambagh Palace,Jaipur,India,Southeast Asia,India Hotels Company Limited,96.44,69,78,Small,Palace,1835,19,1.0,88.0,2022,26.9154576,75.8189817
69,Curtain Bluff,Saint John's,Antigua,Caribbean,Hulford family,96.44,69,72,Small,Beachfront,1962,20,0.0,0.0,2022,17.1184569,-61.8448509
70,"Morrison House Old Town Alexandria, Autograph Collection",Alexandria,United States,North America,Marriott International,96.42,71,45,Small,Contemporary ,1864,19,0.0,0.0,2022,38.8051095,-77.0470229
71,"The Lytle Park Hotel, Autograph Collection",Cincinnati,United States,North America,Marriott International,96.42,71,106,Small,Contemporary ,2019,21,0.0,0.0,2022,39.1014537,-84.5124602
72,Twin Farms,Barnard,United States,North America,Thurston Twigg-Smith,96.42,73,20,Small,Lodge,1993,20,0.0,0.0,2022,39.19056,-98.041991
73,Deer Path Inn,Lake Forest,United States,North America,Lake Forest Investments,96.4,74,55,Small,Manor,1929,20,0.0,0.0,2022,42.2586461,-87.8407055
74,One&Only Nyungwe House,Nyamasheke Nyungwe Forest Reserve,Rwanda,Africa,Kerzner International,96.36,75,22,Small,Nature,2010,21,0.0,0.0,2022,-2.0,-30.0
75,W Santiago,Las Condes,Chile,Latin America,Marriott International,96.36,75,196,Medium,Contemporary ,2009,21,0.0,0.0,2022,-33.4084548,-70.5671489
76,Shangri-La Singapore,Singapore,Singapore,Southeast Asia,Kerry Properties,96.33,77,792,Mega,Contemporary ,1971,20,0.0,0.0,2022,1.357107,103.8194992
77,L'Ermitage Beverly Hills,Beverly Hills,United States,North America,EOS Investors,96.28,78,116,Small,Contemporary ,1975,20,0.0,0.0,2022,34.0696501,-118.3963062
78,Silo Hotel,Cape Town,South Africa,Africa,The Royal Portfolio,96.27,79,28,Small,Contemporary ,2017,21,0.0,0.0,2022,-33.928992,18.417396
79,Katikies Santorini,Santorini,Greece,Europe,Katikies Resorts & Club,96.24,80,34,Small,Coastal,1987,20,0.0,0.0,2022,0.0,0.0
80,Nobu Hotel,Miami Beach,United States,North America,Davidson Hotels & Resorts,96.22,81,206,Medium,Beachfront,1957,20,0.0,0.0,2022,0.0,0.0
81,The Shore Club,Long Bay Beach,Turks and Caicos Islands,Caribbean,The Hartling Group,96.22,82,110,Small,Beachfront,2016,21,0.0,0.0,2022,0.0,0.0
82,Taj Holiday Village Resort & Spa,Goa,India,Southeast Asia,India Hotels Company Limited,96.21,83,142,Small,Beachfront,1978,20,1.0,12.0,2022,0.0,0.0
83,Mandarin Oriental Bangkok,Bangkok,Thailand,Southeast Asia,Jardine Matheson,96.18,84,331,Big,Contemporary ,1876,19,1.0,41.0,2022,0.0,0.0
84,Auberge Saint-Antoine,Quebec City,Canada,North America,Price family,96.18,85,95,Small,Manor,1992,20,0.0,0.0,2022,0.0,0.0
85,Rosewood Miramar Beach,Montecito,United States,North America,Caruso,96.14,86,161,Medium,Beachfront,2018,21,0.0,0.0,2022,0.0,0.0
86,Rio Celeste Hideaway Hotel,Guanacaste,Costa Rica,Latin America,Angelo Zaragovia (brainchild),96.0,87,26,Small,Nature,2010,21,0.0,0.0,2022,0.0,0.0
87,Hotel Caesar Augustus,Anacapri,Italy,Europe,Signorini family,96.0,87,55,Small,Coastal,1940,20,0.0,0.0,2022,0.0,0.0
88,Grand Hotel Villa Serbelloni,Bellagio,Italy,Europe,Bucher family,96.0,87,95,Small,Palace,1873,19,0.0,0.0,2022,0.0,0.0
89,Le Bristol Paris,Paris,France,Europe,Oetker Collection,96.0,87,190,Medium,Palace,1925,20,1.0,80.0,2022,0.0,0.0
90,Shangri-La Bosphorus,Istanbul,Turkey,Middle East,Kerry Properties,95.9,91,186,Medium,Palace,1929,20,0.0,0.0,2022,0.0,0.0
91,The Palms Turks & Caicos,Grace Bay Beach,Turks and Caicos Islands,Caribbean,The Hartling Group,95.86,92,72,Small,Beachfront,2004,21,0.0,0.0,2022,0.0,0.0
92,"The Lodge at Blue Sky, Auberge Resorts Collection",Park City,United States,North America,Phillips family,95.85,93,46,Small,Lodge,2018,21,0.0,0.0,2022,0.0,0.0
93,Little Palm Island Resort & Spa,Little Torch Key,United States,North America,Noble House Hotels and Resorts,95.83,94,30,Small,Island,1989,20,0.0,0.0,2022,0.0,0.0
94,Le Sirenuse,Positano,Italy,Europe,Sersale family,95.81,95,58,Small,Coastal,1951,20,0.0,0.0,2022,0.0,0.0
95,andBeyond Ngorongoro Crater Lodge,Ngorongoro Conservation Area,Tanzania,Africa,andBeyond,95.8,96,30,Small,Safari,1996,20,0.0,0.0,2022,0.0,0.0
96,Casa San Agustín,Cartagena,Colombia,Latin America,Casa San Agustín,95.79,97,31,Small,Boutique ,1700,18,0.0,0.0,2022,0.0,0.0
97,The Connaught,London,England,Europe,Maybourne Hotel Group,95.79,97,121,Small,Contemporary ,1897,19,0.0,0.0,2022,0.0,0.0
98,Wentworth Mansion,Charleston,United States,North America,Richard Widman,95.78,99,21,Small,Manor,1886,19,0.0,0.0,2022,0.0,0.0
99,Taj Lands End,Mumbai,India,Southeast Asia,Indian Hotels Company Limited,95.73,100,488,Big,Contemporary ,1999,20,0.0,0.0,2022,0.0,0.0
100,Birkenhead House,Hermanus,South Africa,Africa,The Royal Portfolio,95.73,100,11,Small,Coastal,1952,20,0.0,0.0,2022,0.0,0.0
101,Mahali Mzuri,Masai Mara,Kenya,Africa,Virgin Limited Edition,99.73,1,12,Small,Safari,2013,21,0.0,0.0,2021,0.0,0.0
102,Nayara Tented Group,Arenal Volcano National Park,Costa Rica,Latin America,Nayara Resorts,99.58,2,29,Small,Nature,2019,21,0.0,0.0,2021,0.0,0.0
103,The Opposite House,Beijing,China,Asia,Swire Properties,99.47,3,99,Small,Contemporary ,2009,21,0.0,0.0,2021,0.0,0.0
104,Capella Bangkok,Bangkok,Thailand,Southeast Asia,Pontiac Land Group,99.38,4,101,Small,Contemporary ,2020,21,0.0,0.0,2021,0.0,0.0
105,Capella Ubud,Bali,Indonesia,Southeast Asia,Pontiac Land Group,99.34,5,23,Small,Nature,2018,21,0.0,0.0,2021,0.0,0.0
106,Grace Hotel,Santorini,Greece,Europe,Auberge Resorts Collection,99.18,6,139,Small,Coastal,2008,21,0.0,0.0,2021,0.0,0.0
107,Kamalame Cay,Andros Island,Bahamas,Caribbean,David and Michael King-Hew,99.14,7,22,Small,Island,1996,20,0.0,0.0,2021,0.0,0.0
108,The Oberoi Udaivilas,Udaipur,India,Southeast Asia,The Oberoi Group,99.12,8,87,Small,Palace,2007,21,0.0,0.0,2021,0.0,0.0
109,The Temple House,Chengdu,China,Asia,Swire Properties,98.94,9,142,Small,Contemporary ,2003,21,0.0,0.0,2021,0.0,0.0
110,The Oberoi New Delhi,New Delhi,India,Southeast Asia,The Oberoi Group,98.9,10,220,Medium,Contemporary ,1965,20,0.0,0.0,2021,0.0,0.0
111,Hotel Paracas,Paracas,Peru,Latin America,Marriott International,98.77,11,120,Small,Coastal,1944,20,0.0,0.0,2021,0.0,0.0
112,Taj Holiday Village Resort & Spa,Goa,India,Southeast Asia,India Hotels Company Limited,98.76,12,142,Small,Coastal,1978,20,0.0,0.0,2021,0.0,0.0
113,"Savute Elephant Lodge, A Belmond Safari",Chobe National Park,Botswana,Africa,LVMH,98.75,13,12,Small,Safari,1992,20,0.0,0.0,2021,0.0,0.0
114,The Oberoi Vanyavilas Wildlife Resort,Ranthambhore,India,Southeast Asia,The Oberoi Group,98.72,14,25,Small,Nature,2001,21,0.0,0.0,2021,0.0,0.0
115,Mandarin Oriental Milan,Milan,Italy,Europe,Jardine Matheson,98.67,15,104,Small,Contemporary ,2015,21,0.0,0.0,2021,0.0,0.0
116,La Reserve Paris,Paris,France,Europe,Michel Reybier Hospitality Group,98.6,16,40,Small,Contemporary ,2015,21,0.0,0.0,2021,0.0,0.0
117,Nobu Ryokan,Malibu,United States,North America," Chef Nobu, Robert De Niro, Meir Teper and Larry Ellison",98.59,17,16,Small,Coastal,2017,21,0.0,0.0,2021,0.0,0.0
118,Soneva Fushi,Baa Atoll,Maldives,Southeast Asia,Soneva,98.59,17,64,Small,Island,1995,20,0.0,0.0,2021,0.0,0.0
119,Shangri-La the Shard,London,England,Europe,Kerry Properties,98.57,19,202,Medium,Contemporary ,2014,21,0.0,0.0,2021,0.0,0.0
120,Alila Manggis,Bali,Indonesia,Southeast Asia,Hyatt,98.5,20,55,Small,Nature,2014,21,0.0,0.0,2021,0.0,0.0
121,Phinda Vlei Lodge,KwaZulu Natal,South Africa,Africa,andBeyond,98.5,20,6,Small,Safari,1996,20,0.0,0.0,2021,0.0,0.0
122,Il Sereno Lago di Como,Torno,Italy,Europe,Sereno Hotels,98.5,20,40,Small,Coastal,2016,21,0.0,0.0,2021,0.0,0.0
123,Manoir Hovey,North Hatley,Canada,North America,Relais & Châteaux ,98.48,23,36,Small,Coastal,1900,20,0.0,0.0,2021,0.0,0.0
124,Canaves Oia Epitome ,Santorini,Greece,Europe,Yiannis and Anna Chaidemenos,98.44,24,24,Small,Coastal,2018,21,0.0,0.0,2021,0.0,0.0
125,Istanbul At Sultanahmet,Istanbul,Turkey,Middle East,Four Seasons,98.4,25,65,Small,Palace,1996,20,0.0,0.0,2021,0.0,0.0
126,The Peninsula Manila,Manila,Philippines,Southeast Asia,Hongkong and Shanghai Hotels Ltd.,98.4,25,469,Big,Palace,1976,20,0.0,0.0,2021,0.0,0.0
127,Hotel Il Pellicano,Porto Ercole,Italy,Europe,The Leading Hotels of the World Ltd.,98.32,27,47,Small,Coastal,1965,20,0.0,0.0,2021,0.0,0.0
128,Hotel Fasano Boa Vista,Porto Feliz,Brazil ,Latin America,The Leading Hotels of the World Ltd.,98.25,28,39,Small,Nature,2003,21,0.0,0.0,2021,0.0,0.0
129,Halekulani Okinawa,Okinawa,Japan,Asia,Mitsui Fudosan Group,98.21,29,360,Big,Coastal,2019,21,0.0,0.0,2021,0.0,0.0
130,The Lake House on Canandaigua,New York,United States,North America,The Sands Family,98.14,30,124,Small,Nature,1962,20,0.0,0.0,2021,0.0,0.0
131,Hyatt Regency Amritsar,Amritsar,India,Southeast Asia,Hyatt,98.14,31,248,Medium,Contemporary ,2008,21,0.0,0.0,2021,0.0,0.0
132,Leela Palace Udaipur,Udaipur,India,Southeast Asia,Brookfield Asset Management,98.13,32,80,Small,Palace,2009,21,0.0,0.0,2021,0.0,0.0
133,Nayara Gardens,Arenal Volcano National Park,Costa Rica,Latin America,Nayara Resorts,98.13,33,50,Small,Nature,2007,21,0.0,0.0,2021,0.0,0.0
134,Pickering House Inn,Wolfeboro,United States,North America,Peter and Patty Cooke ,98.11,34,10,Small,Contemporary ,2018,21,0.0,0.0,2021,0.0,0.0
135,Rancho Valencia Resort & Spa,San Diego,United States,North America,Jacobs Family,98.03,35,49,Small,Nature,1989,20,0.0,0.0,2021,0.0,0.0
136,Nihi Sumba,Sumba,Indonesia,Southeast Asia,Christopher Burch,98.0,36,28,Small,Coastal,2001,21,0.0,0.0,2021,0.0,0.0
137,The Oberoi Mumbai,Mumbai,India,Southeast Asia,The Oberoi Group,98.0,36,337,Big,Contemporary ,2004,21,0.0,0.0,2021,0.0,0.0
138,Tierra Atacama Hotel & Spa,San Pedro de Atacama,Chile,Latin America,Tierra Hotels,98.0,36,32,Small,Nature,2011,21,0.0,0.0,2021,0.0,0.0
139,Viceroy Riviera Maya,Playa del Carmen,Mexico,Latin America,Viceroy Hotel Group ,97.92,39,41,Small,Coastal,2006,21,0.0,0.0,2021,0.0,0.0
140,St. Regis Istanbul,Istanbul,Turkey,Middle East,Marriott International,97.89,40,118,Small,Contemporary ,2015,21,0.0,0.0,2021,0.0,0.0
141,Katikies Mykonos,Mikonos ,Greece,Europe,Nikos Pagonis,97.87,41,36,Small,Coastal,2018,21,0.0,0.0,2021,0.0,0.0
142,The Lanesborough,London,England,Europe,Oetker Collection,97.87,41,93,Small,Palace,1991,20,0.0,0.0,2021,0.0,0.0
143,Mandarin Oriental Bangkok,Bangkok,Thailand,Southeast Asia,Jardine Matheson,97.87,41,331,Big,Contemporary ,1876,19,0.0,0.0,2021,0.0,0.0
144,The Roundtree,Amagansett,United States,North America,Sylvia Wong,97.87,41,10,Small,Nature,2020,21,0.0,0.0,2021,0.0,0.0
145,Mashpi Lodge,Quito,Ecuador,Latin America,Roque Sevilla,97.76,45,24,Small,Nature,2012,21,0.0,0.0,2021,0.0,0.0
146,Angama Mara,Mara Triangle,Kenya,Africa,Nicky and Steve Fitzgerald ,97.73,46,4,Small,Safari,2015,21,0.0,0.0,2021,0.0,0.0
147,Raffles Istanbul,Istanbul,Turkey,Middle East,Accor,97.72,47,136,Small,Contemporary ,2014,21,0.0,0.0,2021,0.0,0.0
148,Grand Hotel Excelsior Vittoria,Sorrento,Italy,Europe,Guido Fiorentino,97.71,48,79,Small,Coastal,1834,19,0.0,0.0,2021,0.0,0.0
149,Sumaq Machu Picchu Hotel,Aguas Calientes,Peru,Latin America,Clabe Andina,97.68,49,62,Small,Nature,2007,21,0.0,0.0,2021,0.0,0.0
150,Las Ventanas al Paraíso,San José del Cabo,Mexico,Latin America,Rosewood Hotel Group ,97.68,50,83,Small,Coastal,1997,20,0.0,0.0,2021,0.0,0.0
151,The Oberoi Rajvilas,Jaipur,India,Southeast Asia,The Oberoi Group,97.66,51,54,Small,Palace,1997,20,0.0,0.0,2021,0.0,0.0
152,Viceroy Chicago,Chicago,United States,North America,Viceroy Hotel Group ,97.66,51,180,Medium,Contemporary ,2017,21,0.0,0.0,2021,0.0,0.0
153,Gibb's Farm,Karatu,Tanzania,Africa,Rick and Judi,97.63,53,21,Small,Nature,1929,20,0.0,0.0,2021,0.0,0.0
154,Singita Grumeti,Serengeti National Park,Tanzania,Africa,"Paul Tudor Jones, Luke Bailes",97.6,54,15,Small,Safari,2013,21,0.0,0.0,2021,0.0,0.0
155,Four Seasons Bangkok,Bangkok,Thailand,Southeast Asia,Four Seasons,97.59,55,299,Medium,Contemporary ,2020,21,0.0,0.0,2021,0.0,0.0
156,The Goring,London,England,Europe,The Goring Family,97.57,56,69,Small,Palace,1910,20,0.0,0.0,2021,0.0,0.0
157,The Lodge & Spa at Brush Creek Ranch,Wyoming,United States,North America,Bruce and Beth White,97.56,57,44,Small,Nature,2010,21,0.0,0.0,2021,0.0,0.0
158,Taj Palace,New Delhi,India,Southeast Asia,India Hotels Company Limited,97.56,57,403,Big,Palace,1903,20,0.0,0.0,2021,0.0,0.0
159,St. Regis Florence,Florence,Italy,Europe,Marriott International,97.52,59,99,Small,Palace,1855,19,0.0,0.0,2021,0.0,0.0
160,Mandarin Oriental Paris,Paris,France,Europe,Jardine Matheson,97.5,60,135,Small,Contemporary ,2011,21,0.0,0.0,2021,0.0,0.0
161,Matetsi Victoria Falls,Matetsi,Zimbabwe,Africa,John Gardiner,97.5,60,18,Small,Safari,2016,21,0.0,0.0,2021,0.0,0.0
162,Round Hill Hotel and Villas,Montego Bay,Jamaica,Caribbean,Ralph Lauren,97.49,62,36,Small,Coastal,1952,20,0.0,0.0,2021,0.0,0.0
163,Khwai River Lodge,Moremi Game Reserve,Botswana,Africa,LVMH,97.47,63,15,Small,Safari,1971,20,0.0,0.0,2021,0.0,0.0
164,Soneva Jani,Noonu Atoll,Maldives,Southeast Asia,Soneva,97.45,64,24,Small,Island,2016,21,0.0,0.0,2021,0.0,0.0
165,The Oberoi Amarvilas,Agra,India,Southeast Asia,The Oberoi Group,97.44,65,102,Small,Palace,2000,21,0.0,0.0,2021,0.0,0.0
166,Inn of the Five Graces,Santa Fe,United States,North America,Relais & Châteaux,97.41,66,25,Small,Contemporary ,1996,20,0.0,0.0,2021,0.0,0.0
167,"Zadun, a Ritz-Carlton Reserve",San José del Cabo,Mexico,Latin America,Marriott International,97.41,66,115,Small,Coastal,2019,21,0.0,0.0,2021,0.0,0.0
168,Mfuwe Lodge,South Luangwa National Park,Zambia,Africa,The Bushcamp Company,97.33,68,18,Small,Safari,1956,20,0.0,0.0,2021,0.0,0.0
169,InterContinental Bora Bora Resort & Thalasso Spa,Bora Bora,French Polynesia,Oceania,InterContinental Hotels Group,97.33,68,84,Small,Island,2006,21,0.0,0.0,2021,0.0,0.0
